Codigo;Nome;Descrição;unidade_medida;estoque_atual;estoque_minimo
MC-13593;ACABAMENTO INJETADO PP DO PARAFUSO (PP VIRGEM);;UN;0;0
MC-10356;LATERAL DO PE DE VELA SEXTAVADO - DIREITO;;UN;0;0
MC-12643;ESCOVA DISSIPATIVA FIBRA DE CARBONO 520MM;;UN;0;0
MC-13324;MANIPLO DE ALUMINIO REGULAGEM MAIOR 109MM (88977);;UN;0;0
MC-13322;MANIPLO DE ALUMINIO REGULAGEM MENOR (88978);;UN;0;0
MC-13325;MANIPLO DE ALUMINIO REGULAGEM PEITORAL DORSAL (88976);;UN;0;0
MC-12428;MANIPLO DE REGULAGEM PEITORAL DORSAL;;UN;0;0
MC-13097;MOLA A GAS SIMPLES AMORTECEDOR 10KGS;;UN;0;0
MC-13554;MOLA LF200 - COD.241.01.1447;;UN;0;0
MC-10562;PAR CAPA DE MANOPLA DO CONTROLE DA ESCADA;;UN;0;0
MC-11814;PÉ NIVELADOR P/MOVEIS OITAVADO PRETO 1/4X16MM;;UN;0;0
MC-13321;"REGULADOR DE PESO EM ""T"" ALUMINIO C/IMA E ESPIRAL 9MM ";;UN;0;0
MC-12426;"REGULADOR DE PESO EM ""T"" C/IMA E ESPIRAL 9MM";;UN;0;0
MC-12971;TELA SOLDADA 50X50X5X4000X2000 - REABILITACAO;;UN;0;0
MC-10355;LATERAL DO PE DE VELA SEXTAVADO - ESQUERDO;;UN;0;0
MC-13268;BANCO LF 480 - MODELO NOVO (GTA);;UN;0;0
MC-13232;BUCHA TPU COMPENSADORA DO PILLOW (021110125);;UN;0;0
MC-751;MANIPLO M10 - FÊMEA;;UN;0;0
MC-655;FIRMA PE DE NYLON COM FIVELAS 480/500;;UN;0;0
MC-620;PEDAL LF 480/500 (AL/AL 9/16);;UN;0;0
MC-12356;PUXADOR C/ TRAVA DA BIKE MANIPLO ESPECIAL M20 (NOVO);;UN;0;0
MC-9730;SILICONE SILIBRILL SPEED HP-MIX - 500ml COD.163;;UN;0;0
MC-13226;EMENDA DE CORRENTE 1/2 X 1/8;;UN;0;0
MC-12107;PORTA COPO PRETO+CELULAR (GARRAFEIRO);;UN;0;0
MC-1970;TERMINAL DA ANILHA CABO DE AÇO;;UN;0;0
MC-1244;CARRINHO DO BANCO LF 300/480;;UN;0;0
MC-2877;CABO DE AÇO FINO (CABO DE CAMBIO TRAS. MTB 1,2X2000MM);;UN;0;0
MC-1601;COURO DE AMORTECEDOR DA LF 480;;UN;0;0
MC-3184;ESTICADOR DE CORREIA ;;UN;0;0
MC-1537;PORCA LATÃO DO FREIO LF 480 (021102585);;UN;0;0
MC-12379;PEDAL BIKE ERGOMETRICA LF 450 (AL 9/16 PRETO) ;;UN;0;0
MC-752;MANIPLO M10X25MM - MACHO;;UN;0;0
MC-13004;CORRENTE 1/2 X 1/8 X 1 1/4 - C410 - PTO;;UN;0;0
MC-10548;CORRENTE MONTADA RC 40 DIVS 2,5MTS;;UN;0;0
MC-1633;CABO DE ACO MUSCULACAO 1/8;;UN;0;0
MC-10918;"MANGUEIRA CRISTAL 1/4"" X 1,5MM ";;UN;0;0
MC-10348;EMENDA DE CORRENTE CL 40 DIVS.;;UN;0;0
MC-12761;ANDADOR 2 BARRAS DOBRAVEL - 120KGS;;UN;0;0
MC-12986;TELA EXPANDIDA 8400X1200X6 - RODA AIR BIKE;;UN;0;0
MC-372;MOSQUETÃO 9x90;;UN;0;0
MC-11864;FITA KRAFT 48X50;;UN;0;0
MC-1340;MOLA DO FREIO LF 480 (021104163);;UN;0;0
MC-12534;MOLA COMPRESSAO AR 2 X INT. 25 X COMP. 40 - PEGADA ;;UN;0;0
MC-1365;SAPATA DO FREIO LF 480;;UN;0;0
MC-1765;ANILHA DO CABO DE AÇO;;UN;0;0
MC-12429;MANIPLO DE REGULAGEM MENOR;;UN;0;0
MC-12530;MOLA A GAS SIMPLES AMORTECEDOR 52KGS ;;UN;0;0
MC-12454;MOLA DE TORCAO ESTEIRA FISIO ;;UN;0;0
MC-1809;SAPATILHA GALVANIZADA TIPO LEVE 1/4'';;UN;0;0
MC-12440;CAPA PISANTE PARA TUBO OBLONGO 98X50 - FT0494;;UN;0;0
MC-12653;MOLA DA CAMA ELÁSTICA KAYAK;;UN;0;0
MC-12453;MOLA DE TORCAO ESTEIRA FISIO LD ESQUERDO;;UN;0;0
MC-12378;MOLA DE TORCAO LF 450;;UN;0;0
MC-12452;MOLA DE TORCAO ESTEIRA FISIO LD DIREITO;;UN;0;0
MC-13089;MOLA DE COMPRESSAO 1,40X22,5X40 COMPRIMENTO - LF350;;UN;0;0
MC-1192;MOLA MÉDIA 1X14X65MM COD. 248.01.1192;;UN;0;0
MC-11137;APOIO TROLHAO ALUMINIO AMARELO (PEDALEIRA) COD.1221;;UN;0;0
MC-12522;SILICONE SILIBRILL SPEED HP-MIX GL 5 LT;;UN;0;0
MC-10346;CORRENTE RC 40 DIVS. COMP. 1,33MT;;UN;0;0
MC-12996;ADESIVO CARENAGEM ESCADA 40X40 QR CODE (46153);;UN;0;0
MC-12994;ADESIVO CARENAGEM ESTEIRA 70X70 QR CODE (46154);;UN;0;0
MC-12995;ADESIVO CARENAGEM GAIOLA 40X40 QR CODE (46150);;UN;0;0
MC-11811;ADESIVO ETIQUETA LION CLIMA LC100V (36475);;UN;0;0
MC-11805;ADESIVO ETIQUETA LION CLIMA LC30 (36469);;UN;0;0
MC-11809;ADESIVO ETIQUETA LION CLIMA LC50 (36473);;UN;0;0
MC-11810;ADESIVO ETIQUETA LION CLIMA LC70 (36474);;UN;0;0
MC-10379;ADESIVO FAIXA IRIDIUM 800X9MM PRATA (15182);;UN;0;0
MC-10746;ADESIVO FRONTAL LION BIKE/ELIPTICO (16993);;UN;0;0
MC-10075;ADESIVO FRONTAL LION LF200 MONITOR NOVO PRATA (15788) ;;UN;0;0
MC-11856;ADESIVO FRONTAL NEW CYCLE KIDS (37208) ;;UN;0;0
MC-8529;ADESIVO KIT FRONTAL E LION BRISA (8008);;UN;0;0
MC-9884;ADESIVO KIT LION LF-300 D/E AMARELO (12812);;UN;0;0
MC-9885;ADESIVO KIT LION LF-400 D/E AMARELO (12811) ;;UN;0;0
MC-10057;ADESIVO KIT LION LF-400 D/E PRATA (15798) ;;UN;0;0
MC-9887;ADESIVO LION KIT CAREN. LF-200 D/E AMARELO (12808);;UN;0;0
MC-9575;ADESIVO LION RECORTADO 238X48 PRETO (12013);;UN;0;0
MC-10409;ADESIVO LOGO LION (LFX) 240X50 PRATA (15160);;UN;0;0
MC-9991;ADESIVO OPTIMUS RECORTADO 420X48 PRATA (15813);;UN;0;0
MC-13411;ADESIVO PAINEL CONSOLE NOVO LF200 (49092);;UN;0;0
MC-11916;ADESIVO QR CODE NEW CYCLE KIDS (37735);;UN;0;0
MC-10267;ADESIVO REGUA PESO 15 A 110KGS (14299);;UN;0;0
MC-1270;ADESIVO TENSOR GRANDE (1354);;UN;0;0
MC-9822;ADESIVO TUBO DEITADO CABLE CROSS SMITH 272X86 (12169);;UN;0;0
MC-9274;ADESIVO LOGO LION RECORTADO 134X27 - PRATA (10578);;UN;0;0
MC-13431;ADESIVO LATERAL X4 I RECORTADO (48872);;UN;0;0
MC-1274;ADESIVO DE VOLTAGEM 220 VOLTZ (17451) VERMELHO;;UN;0;0
MC-10077;ADESIVO LION APROVADO FISIOTERAPIA (13573);;UN;0;0
MC-10917;ADESIVO LOGO LION REDONDO PRATA 110MM (15800);;UN;0;0
MC-13433;ADESIVO FRONTAL TECLADO VAZADO QUADRADO X4 I - 14 TECLAS ;;UN;0;0
MC-12451;ADESIVO KIT LATERAL BIKE HORIZONTAL (41654);;UN;0;0
MC-12368;ADESIVO FRONTAL  BIKE HORIZONTAL (41470);;UN;0;0
MC-1271;ADESIVO TENSOR PEQUENO (1716);;UN;0;0
MC-10890;ADESIVO RODA LION FITNESS LF-480 PRATA (15783);;UN;0;0
MC-13383;ADESIVO LION FEITO NO BRASIL BRANCO 40X40MM (49738);;UN;0;0
MC-9749;ADESIVO KIT LION ROTULO SILICONE (12502) (F/V) REV.02 ;;UN;0;0
MC-11597;ADESIVO FRONTAL TECLADO VAZADO QUADRADO X3 GT 13 ;;UN;0;0
MC-13432;ADESIVO FRONTAL SUPERIOR X4 I (48870) ;;UN;0;0
MC-11820;ADESIVO CARENAGEM SPINING LF-480C - (44798) PRATA;;UN;0;0
