Codigo;Nome;Descrição;unidade_medida;estoque_atual;estoque_minimo
1;FREIO LF-480;CONJUNTOS E SUBCONJUNTOS;UN;0;0
207;EIXO SUSTENTAÇÃO ANILHAS 900MM (021101689);USINADOS;UN;0;0
209;EIXO SUSTENTAÇÃO ANILHAS 390MM (021101202);USINADOS;UN;0;0
212;EIXO SUSTENTAÇÃO ANILHAS 450MM (021101279);USINADOS;UN;0;0
212;EIXO SUSTENTAÇÃO ANILHAS 450MM (021101279);USINADOS;UN;0;0
234;FLAUTA QUADRADA 40X40 300MM INOX (021102541);TUBOS;UN;0;0
250;GUIA DO REGULADOR DE ALTURA DA PERNA RETIFICADO (021102959);USINADOS;UN;0;0
253;EIXO SUSTENTAÇÃO ANILHAS 1200MM (021103385);USINADOS;UN;0;0
258;EIXO DO PÉ DE VELA DA LF-480 (021101373);USINADOS;UN;0;0
266;RODA DE INERCIA DO ELIPTICO/BIC.VERT.HORIZ. DESMONTADA - 021101367;USINADOS;UN;0;0
269;ROLETE TRASEIRO X-4/X-4 GT (021102286);USINADOS;UN;0;0
270;ROLETE DIANTEIRO X-3 3 CV (021102342);USINADOS;UN;0;0
271;ROLETE TRASEIRO X-3 3 CV (021102302);USINADOS;UN;0;0
275;EIXO TRASEIRO DO ROLO X-4 GT (021102312);USINADOS;UN;0;0
276;EIXO TRASEIRO DO ROLO X-3 GT (021102321);USINADOS;UN;0;0
278;POLIA DO ROLO 2CV - PRONTA (X-3/X-4 GT)(021106804);USINADOS;UN;0;0
280;ROLETE DIANTEIRO X-4/X-4 GT (021102400);USINADOS;UN;0;0
283;ROLETE TRASEIRO COMPLETO X-3;CONJUNTOS E SUBCONJUNTOS;UN;0;0
287;ROLETE TRASEIRO COMPLETO X-4/X-4 GT;CONJUNTOS E SUBCONJUNTOS;UN;0;0
292;PINO CONICO INOX (ELIPTICO/BICICLETA) (021101410);USINADOS;UN;0;0
297;SUPORTE CAMA DO IMA LF-200/220/250/300/400 (021103102);CHAPAS;UN;0;0
299;ESTICADOR DE CORREIA BIKE E ELIPTICO;CONJUNTOS E SUBCONJUNTOS;UN;0;0
